1 : 4  2√
77 : 4  2! 5√ 1! 1√ 1! 1√ 1! 11√ 1! 9√ 1! 6√
78 : 4  2! 5√ 1! 1√ 1! 2√ 1! 5√ 1! 4√ 1! 11√ 1! 13√ 1! 5√ 1! 8√
79 : 4  2! 5√ 1! 1√ 1! 2√ 1! 5√ 1! 4√ 1! 12√ 1! 5√ 1! 10√
80 : 4  2! 4√ 1! 4√ 1! 6√ 1! 8√ 1! 14√
81 : 4  2! 5√ 1! 1√ 1! 1√ 1! 11√ 1! 9√
82 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 4√ 1! 4√ 1! 9√ 1! 7√ 1! 7√
83 : 4  2! 4√ 1! 3√ 1! 14√ 1! 9√ 1! 2√ 1! 14√
84 : 4  2! 5√ 1! 2√ 3! 10√ 1! 5√ 1! 6√ 1! 8√ 1! 10√ 1! 9√ 1! 9√ 1! 13√
85 : 4  2! 3√ 1! 11√ 1! 3√ 1! 3√ 1! 10√ 1! 4√
86 : 4  2! 3√ 1! 10√ 1! 7√ 1! 11√ 1! 7√ 1! 13√ 1! 2√ 1! 6√ 1! 5√ 1! 10√ 1! 7√ 1! 7√ 1! 10√ 1! 8√ 1! 8√ 1! 13√ 1! 12√
87 : 4  2! 4√ 1! 3√ 1! 15√ 1! 2√ 1! 13√ 1! 4√ 1! 13√ 1! 12√ 1! 10√ 1! 5√ 1! 11√ 1! 8√
88 : 4  2! 4√ 1! 3√ 1! 14√ 1! 9√ 1! 2√ 1! 14√ 1! 6√
89 : 4  2! 5√ 2! 6√ 1! 10√ 1! 12√ 1! 4√ 1! 8√
90 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 3√ 1! 10√ 1! 13√ 1! 6√ 1! 14√ 1! 11√ 1! 12√ 1! 13√ 1! 10√
91 : 4  2! 4√ 1! 3√ 1! 15√ 1! 2√ 1! 13√ 1! 5√
92 : 4  2! 3√ 1! 10√ 1! 7√ 1! 11√ 1! 7√ 1! 11√ 1! 15√
93 : 4  2! 4√ 1! 4√ 1! 6√ 1! 8√ 1! 14√ 1! 5√ 1! 13√ 1! 6√ 1! 10√ 1! 9√ 1! 10√ 1! 6√ 1! 11√ 1! 11√ 1! 11√
94 : 4  2! 4√ 1! 4√ 1! 6√ 1! 9√
95 : 4  2! 3√ 1! 11√ 1! 2√ 1! 10√ 1! 2√ 1! 11√ 1! 10√ 1! 9√ 1! 6√ 1! 10√
96 : 4  2! 3√ 1! 11√ 1! 3√ 1! 4√ 1! 3√ 1! 10√ 1! 13√ 1! 7√ 1! 6√ 1! 11√
97 : 4  2! 4√ 1! 3√ 1! 14√ 1! 9√ 1! 2√ 1! 14√ 1! 6√ 1! 6√ 1! 6√ 1! 11√ 1! 8√ 1! 10√ 1! 14√
98 : 4  2! 3√ 1! 10√ 1! 7√ 1! 11√ 1! 7√ 1! 12√ 1! 6√ 1! 12√
99 : 4  2! 4√ 1! 3√ 1! 14√ 1! 9√ 1! 2√ 1! 14√ 1! 5√ 1! 13√ 1! 11√ 1! 9√ 1! 10√ 1! 14√ 1! 11√ 1! 8√
100 : 4  2! 3√ 1! 11√ 1! 2√ 1! 9√ 1! 9√ 1! 2√ 1! 7√
